"actividades legislativas","Actividades primarias","Comercio al por mayor","construcción","Corporativos","Enegía ","Industria manufactureras","Información en medios masivos","Minería ","Servicios de apoyo ","Servicios de esparcimiento","Salud","Servicios educativos","Servicios financieros y seguros","Servicios inmobiliarios ","Servicios profesionales y técnicos ","Transporte","Comercio al pormenor","Servicios no gubernamentales","Servicios de alojamiento y alimentación"
8,0,1,0,0,1,2,1,0,0,1,2,4,0,0,0,0,0,4,5
22,0,2,0,0,1,7,2,0,0,2,6,6,1,1,1,0,25,13,11
20,1,1,0,0,2,1,1,0,0,0,1,4,0,0,0,1,12,2,9
9,0,0,0,0,3,22,3,1,0,9,6,12,5,3,0,1,83,34,25
27,0,5,0,0,3,33,5,4,0,11,20,20,7,7,5,4,219,77,86
24,0,1,0,0,1,4,1,0,1,3,5,4,0,2,0,0,20,13,10
32,4,21,4,0,5,72,7,2,6,15,34,31,13,19,23,6,433,179,143
24,0,3,0,0,1,7,1,0,0,2,2,6,1,1,2,2,47,22,11
9,0,1,0,0,1,3,0,0,0,2,3,5,0,0,1,1,22,12,8
24,0,2,0,0,1,14,3,3,1,1,9,16,2,0,0,4,91,19,34
30,0,0,0,0,1,4,1,1,1,1,8,6,2,0,0,0,26,14,7
23,3,14,0,0,2,23,1,0,0,2,5,6,1,2,0,3,89,46,42
136,1,736,77,6,17,1557,83,1,234,167,872,460,529,203,342,273,7571,2827,2691
296,2,479,138,5,28,1490,119,2,347,327,1493,907,805,316,568,165,9700,4267,3622
54,0,238,69,26,21,497,38,0,138,122,501,268,429,162,256,59,3775,1220,1082
359,7,1145,138,0,59,3611,86,0,534,582,2657,1379,734,427,770,475,22804,8409,6298
129,2,471,61,1,17,1515,39,0,205,167,807,467,298,114,333,110,7522,2761,2242
334,4,3309,152,5,92,7740,150,2,919,789,3326,1736,962,762,969,491,43034,13701,9428
86,2,109,33,5,28,526,19,1,77,110,645,244,114,83,134,29,3864,1266,999
76,1,149,4,1,18,570,22,0,57,72,297,170,38,53,75,8,4009,993,740
248,3,504,169,37,64,1559,112,8,292,317,1464,779,1100,292,646,173,10263,3688,2974
104,0,396,18,0,25,1680,42,0,146,202,781,386,122,176,216,46,8456,2819,1683
215,2,495,106,6,36,1940,79,0,245,323,1682,734,641,269,457,119,11385,4452,3265
144,1,331,44,1,58,1378,29,0,166,208,783,422,195,157,301,47,11027,2606,1982
265,1,922,343,9,17,1026,171,7,507,298,2072,581,1248,403,1799,300,6760,3591,3803
537,0,2617,280,41,54,3976,270,4,769,676,2664,907,1901,641,2148,513,33687,7121,8550
325,4,1013,414,73,133,1218,227,28,595,329,1600,504,1464,625,1653,355,8015,3023,3589
218,2,668,47,1,24,1560,60,0,260,223,941,484,553,237,323,667,15309,3499,3984
54,0,27,1,0,2,100,3,1,8,14,48,26,14,21,17,10,429,164,160
11,1,0,0,0,1,6,2,1,1,1,5,4,2,1,1,0,42,15,19
16,0,0,0,0,1,2,2,0,0,0,3,4,1,0,0,0,37,6,11
31,0,30,4,0,2,89,7,15,9,13,37,30,20,22,14,9,560,158,191
347,11,777,339,3,40,2689,114,41,322,357,1814,897,598,479,807,299,11840,5683,4430
8,0,3,0,0,1,9,2,0,0,0,6,5,2,1,1,0,62,18,16
117,1,407,110,2,33,1153,26,12,125,144,564,414,303,298,240,185,4875,2457,2431
40,1,118,5,0,7,181,8,1,27,25,80,47,21,38,37,22,899,352,277
19,0,4,2,0,3,9,2,6,1,3,10,6,3,2,0,2,115,33,35
8,1,0,0,0,1,7,1,0,0,1,4,5,1,0,0,0,26,8,5
9,2,2,0,0,1,1,2,1,0,1,4,4,2,0,0,3,36,4,8
125,4,96,13,0,9,433,10,5,24,62,157,168,46,109,53,34,1858,920,918
30,0,32,4,0,7,81,8,2,8,21,40,27,16,15,1,7,490,168,187
16,0,12,2,0,1,27,3,0,4,4,8,10,5,3,0,2,83,31,47
16,1,9,0,0,3,39,3,1,2,4,13,10,1,6,2,3,155,60,68
28,0,11,3,0,3,69,4,1,6,8,19,15,13,10,10,6,255,81,133
17,1,8,0,0,4,36,2,0,3,6,13,12,3,4,2,5,141,60,66
